0,1,2,3
Stone.jpg,0,0,Fiber.jpg
Tree.jpg,0,0,Axe.jpg
Big_Tree.jpg,0,0,Log.jpg
Fiber.jpg,Log.jpg,0,Log_W_Bark.jpg
Log_W_Bark.jpg,0,0,Half_Log.jpg
Fiber.jpg,Axe.jpg,Half_Log.jpg,Quarter_Log.jpg
Tree.jpg,Quarter_Log.jpg,0,Antler_Refined.jpg
Fiber.jpg,Antler_Refined.jpg,0,Stone_Tool2.jpg
Quarter_Log.jpg,Antler_Refined.jpg,0,Stone_Tool4.jpg
Stone.jpg,Antler.jpg,0,Stone_Tool5.jpg
Fiber.jpg,Stone_Tool5.jpg,0,Big_Bough.jpg
Stone_Tool5.jpg,Big_Bough.jpg,0,Big_Axe.jpg
Axe.jpg,Big_Axe.jpg,0,Blue_Paint.jpg
Log_W_Bark.jpg,Half_Log.jpg,Blue_Paint.jpg,Big_Log.jpg
Stone_Tool4.jpg,Big_Bough.jpg,0,Big_Log_W_Bark.jpg
Red_Berry.jpg,Stone_Tool5.jpg,Big_Log_W_Bark.jpg,S_Log_Rd.jpg
Blue_Berry.jpg,Stone_Tool5.jpg,Big_Log_W_Bark.jpg,S_Log_Sq.jpg
Big_Tree.jpg,Quarter_Log.jpg,0,S_Log_Tr.jpg
Fiber.jpg,S_Log_Tr.jpg,0,R_S_Log_Rd.jpg
Stone_Tool2.jpg,Big_Bough.jpg,0,BG_Log_Top_Sq_Bt_Rd_B.jpg
Fiber.jpg,Stone_Tool2.jpg,0,BG_Log_Top_Tr_Bt_Rd_B.jpg
Stone_Tool2.jpg,Big_Axe.jpg,0,BG_Log_Top_Rd_Bt_Sq_B.jpg
S_Log_Rd.jpg,BG_Log_Top_Sq_Bt_Rd_B.jpg,0,BG_Log_Top_Sq_Bt_Sq_B.jpg
S_Log_Rd.jpg,BG_Log_Top_Tr_Bt_Rd_B.jpg,0,BG_Log_Top_Tr_Bt_Sq_B.jpg
S_Log_Rd.jpg,BG_Log_Top_Rd_Bt_Sq_B.jpg,0,BG_Log_Top_Rd_Bt_Tr_B.jpg
S_Log_Sq.jpg,BG_Log_Top_Sq_Bt_Rd_B.jpg,0,BG_Log_Top_Sq_Bt_Tr_B.jpg
S_Log_Sq.jpg,BG_Log_Top_Tr_Bt_Rd_B.jpg,0,BG_Log_Top_Tr_Bt_Tr_B.jpg
S_Log_Sq.jpg,BG_Log_Top_Rd_Bt_Sq_B.jpg,0,R_BG_Log_Top_Rd_Bt_Rd_R.jpg
Big_Log.jpg,S_Log_Rd.jpg,BG_Log_Top_Sq_Bt_Rd_B.jpg,R_BG_Log_Top_Sq_Bt_Rd_R.jpg
Big_Log.jpg,S_Log_Rd.jpg,BG_Log_Top_Tr_Bt_Rd_B.jpg,R_BG_Log_Top_Tr_Bt_Rd_R.jpg
Big_Log.jpg,S_Log_Rd.jpg,BG_Log_Top_Rd_Bt_Sq_B.jpg,R_BG_Log_Top_Rd_Bt_Sq_R.jpg
