accuracy,auc,fn,fp,loss,precision,recall,tn,tp
0.00015982100740075111,0.5,0.0,87584.0,10708.84765625,0.00015982100740075111,1.0,0.0,14.0
0.00018265256949234754,0.5,0.0,87582.0,6583.88525390625,0.00018265256949234754,1.0,0.0,16.0
9.132628474617377e-05,0.5,0.0,87590.0,12135.89453125,9.132628474617377e-05,1.0,0.0,8.0
0.00022831570822745562,0.5000114440917969,0.0,87578.0,12579.6025390625,0.00022831570822745562,1.0,0.0,20.0
0.0002054841461358592,0.5023350119590759,0.0,87580.0,4066.28466796875,0.0002054841461358592,1.0,0.0,18.0
0.00018265256949234754,0.5,0.0,87582.0,8579.0234375,0.00018265256949234754,1.0,0.0,16.0
0.0002054841461358592,0.5001370310783386,0.0,87580.0,8140.88671875,0.0002054841461358592,1.0,0.0,18.0
6.849471537861973e-05,0.5,0.0,87592.0,11501.716796875,6.849471537861973e-05,1.0,0.0,6.0
0.0001598246453795582,0.5,0.0,87582.0,14926.2548828125,0.0001598246453795582,1.0,0.0,14.0
0.00025115301832556725,0.5,0.0,87574.0,7926.86474609375,0.00025115301832556725,1.0,0.0,22.0
